l0_name,l1_name,l2_name,l0_id,l1_id,l2_id
Engineering,Aerospace engineering,Betz's law,127413603,146978453,2779407677
Engineering,Aerospace engineering,Bicycle pump,127413603,146978453,2778613385
Engineering,Aerospace engineering,Biplane,127413603,146978453,91158637
Engineering,Aerospace engineering,Birney,127413603,146978453,2777253291
Engineering,Aerospace engineering,Block heater,127413603,146978453,2778977993
Engineering,Aerospace engineering,Body flex,127413603,146978453,29533486
Engineering,Aerospace engineering,Body kit,127413603,146978453,2781165197
Engineering,Aerospace engineering,Body roll,127413603,146978453,2778235007
Engineering,Aerospace engineering,Booster (rocketry),127413603,146978453,203165030
Engineering,Aerospace engineering,Boundary layer,127413603,146978453,111603439
Engineering,Aerospace engineering,Bourke engine,127413603,146978453,2780084440
Engineering,Aerospace engineering,Breaststroke,127413603,146978453,2780078563
Engineering,Aerospace engineering,Bulk loaded liquid propellants,127413603,146978453,2779727962
Engineering,Aerospace engineering,Bungee cord,127413603,146978453,2779610058
Engineering,Aerospace engineering,Business class,127413603,146978453,2779732766
Engineering,Aerospace engineering,Cabin pressurization,127413603,146978453,104308156
Engineering,Aerospace engineering,Cable transport,127413603,146978453,2780278336
Engineering,Aerospace engineering,Camber (aerodynamics),127413603,146978453,60053565
Engineering,Aerospace engineering,Camshaft,127413603,146978453,138027316
Engineering,Aerospace engineering,Canfield joint,127413603,146978453,131733238
Engineering,Aerospace engineering,Cantilever,127413603,146978453,141354745
Engineering,Aerospace engineering,Car controls,127413603,146978453,2780415669
Engineering,Aerospace engineering,Ceiling (aeronautics),127413603,146978453,169744489
Engineering,Aerospace engineering,Center of gravity of an aircraft,127413603,146978453,192244939
Engineering,Aerospace engineering,Centre for Ships and Ocean Structures,127413603,146978453,2777205691
Engineering,Aerospace engineering,Centre stick,127413603,146978453,2780289805
Engineering,Aerospace engineering,Centrifugal-type supercharger,127413603,146978453,2776936495
Engineering,Aerospace engineering,Chain of events (aeronautics),127413603,146978453,192730569
Engineering,Aerospace engineering,Charaxes ansorgei,127413603,146978453,2781444154
Engineering,Aerospace engineering,Charaxes brutus,127413603,146978453,2775940134
Engineering,Aerospace engineering,Charaxes cithaeron,127413603,146978453,2776927064
